姓名,任职
梁华,董事长
徐直军,副董事长、轮值董事长
胡厚崑,副董事长、轮值董事长
孟晚舟,副董事长、轮值董事长、CFO
汪涛,常务董事、ICT基础设施业务管理委员会主任
张平安,常务董事、华为云CEO
余承东,常务董事、终端BG董事长、智能汽车解决方案BU董事长、智能终端与智能汽车部件IRB主任
李建国,常务董事、制造部总裁
何庭波,董事、华为科学家委员会主任、ITMT主任、海思总裁
郑良材,董事、人力资源管理部总裁
任正非,董事、CEO
陶景文,董事、质量流程IT总裁
彭博,董事、全球采购认证管理部总裁
查钧,董事、2012实验室主任
侯金龙,董事、华为数字能源总裁
杨超斌,董事、产品投资评审委员会主任、ICT产品与解决方案总裁
应为民,董事 、首席供应官、集团采购管理委员会主任
参考资料,
