姓名,任职
郭平,监事会主席
李杰,监事会副主席
陈黎芳,常务监事
姚福海,常务监事、监事会下院主席
李大丰,常务监事
李英涛,常务监事
马箐箐,常务监事、总干部部部长、终端BG副总裁、智能汽车解决方案BU副总裁
宋柳平,监事、首席法务官
任树录,监事、首席后勤官
田峰,监事、审计委员会主任
彭中阳,监事、战略预备队总队长
史延丽,监事、集团财经副CFO
杨黎,监事、首席道德遵从官、道德遵从委员会主任
吕克,监事
李鹏,监事、ICT销售与服务总裁
参考资料,
