年份,累计申请专利数,累计中国专利申请数,PCT数,获得专利授权数
2015,83163,52550,-,50377
2014,72636,48719,-,38825
2013,77514,44168,14555,36511
2012,68895,41948,12453,30240
2011,57972,36344,10650,23522 （九成为发明型专利）
2010,49040,31869,8892,17765
2009,42543,-,-,-
2008,35773,26005,1737（当年数、世界第1）,-
2007,26880,-,1365（当年数、世界第4）,-
2006,19187,-,-,2742
